Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
Secretaria Municipal de Esporte, Cultura, Lazer e Turismo - SEMECELT;Secretaria Municipal de Cultura;Assessora;Assessor;Jaru;11;RO;RONDÔNIA;Servidor da Pasta de Cultura;Quantas escutas devo realizar? Onde divulgar as escutas? Quantas comissões devo criar e quais são elas, para que objetivo? Devo enviar quais documentações após a conclusão dos repasses aos fazedores de cultura, apenas preencher o BBágil?;Quantas escutas devo realizar? Onde divulgar as escutas? Como executar, para quem divulgar a Cultura Viva, quais centros podem participar e quais condições para participarem? Quantas comissões devo criar e quais são elas, para que objetivo? Devo enviar quais documentações após a conclusão dos repasses aos fazedores de cultura, apenas preencher o BBágil? Devo realizar quantas escutas antes de enviar o PAAR.
Fundação cultural;Fundação;Presidente;Presidente;Vilhena;11;RO;RONDÔNIA;Gestor da Pasta de Cultura;Execução, tempo de prestação de contas editais;Execução, tempo de prestação de contas e editais
SEMEC;Secretaria Municipal de Educação;Secretaria adjunta de esporte e cultura;Secretário;Alta floresta d' Oeste;11;RO;RONDÔNIA;Gestor da Pasta de Cultura;Prestação de contas;Paa
Prefeitura de Jaru;Prefeitura;Secretário;Secretário;Jaru;11;RO;RONDÔNIA;Gestor da Pasta de Cultura;Políticas Públicas;Políticas públicas
Conselho Municipal de Política Cultural de Rolim de Moura;Conselho Municipal de Cultura;Conselheiro;Conselheiro;Rolim de Moura;11;RO;RONDÔNIA;Agente Cultural;Tempo de execução e prestação de contas.;E sobre Cultura Viva, se cadastrar meu grupo de Cultura agora, poderei receber recursos ainda este ano? Demora este cadastramento?
Secretaria Municipal de Educação e Cultura;Secretaria Municipal de Educação;Secretaria;Secretário;Corumbiara;11;RO;RONDÔNIA;Gestor da Pasta de Cultura;Todas;Todas
Prefeitura de Nova Brasilândia do Oeste;Prefeitura;Diretora de Cultura;Diretor;Nova Brasilândia d'Oeste/RO;11;RO;RONDÔNIA;Servidor da Pasta de Cultura;o edital de premiação;como fazer o paar
Secretaria Municipal de Cultura, Esporte e Turismo;Secretaria Municipal de Cultura;Diretor do Departamento de Cultura e Turismo;Diretor;Ouro Preto do Oeste;11;RO;RONDÔNIA;Gestor da Pasta de Cultura;Editais e prestação de contas;PAAR
Câmara Municipal de Vereadores;Câmara Municipal;Assessor Parlamentar;Assessor;Espigão Do Oeste;11;RO;RONDÔNIA;Agente Cultural;Quem pode ser beneficiado pela lei Paulo Gustavo?;"Como Iniciar os trâmites jurídicos no município?
Como organizar os grupos de cultura para serem contemplados?
Como fortalecer o CPF da Cultura, através destas leis de fomento?"
Prestadora serviços SECULT/RR;Prestadora de Serviços;Consultora;Consultor;Boa Vista;14;RR;RORAIMA;Consultor;Variados;Variados
Secretaria municipal de educação e cultura;Secretaria Municipal de Educação;Divisão de cultura;Indefinido;São Luiz;14;RR;RORAIMA;Servidor da Pasta de Cultura;Sobre edital;Todas
Secretaria Municipal de Educação;Secretaria Municipal de Educação;Coordenadora de Licitação e Contratos;Coordenador;caracarai;14;RR;RORAIMA;Servidor da Pasta de Cultura;Não tenho conhecimento, preciso conhecer.;Não tenho conhecimento, preciso conhecer
Ministério da Cultura;Ministério da Cultura;Coordenadora;Coordenador;Boa Vista;14;RR;RORAIMA;Gestor da Pasta de Cultura;Legislação;Cultura Viva
SEMEC;Secretaria Municipal de Educação;Núcleo de Cultura;Indefinido;São Luiz;14;RR;RORAIMA;Servidor da Pasta de Cultura;Todas;Todas
Secretaria de educação cultura esporte e lazer;Secretaria Municipal de Educação;Assessora especial;Assessor;Normandia;14;RR;RORAIMA;Servidor da Pasta de Cultura;Sobre a prestação de contas;De como irá funcionar
MINC;Ministério da Cultura;Assistente adm;Auxiliar;Boa Vista;14;RR;RORAIMA;Servidor da Pasta de Cultura;"Qual o valor máximo p projetos relativos a literatura?

Servidor público estadual/municipal pode inscrever projetos?";"Servidor público pode ter ponto de cultura?

O ponto de Cultura pode ser na residência do agente cultural?"
SECULT RR;Secretaria Estadual de Educação;Diretor de Departamento Cultural;Diretor;Boa Vista;14;RR;RORAIMA;Servidor da Pasta de Cultura;Sobre a legislação!;Sobre a legislação!
Casa Algazarra;Sociedade Civil;Produtora Cultural;Produtora;Boa Vista;14;RR;RORAIMA;Agente Cultural;No momento ainda não tenho dúvidas.;Sobre adequação de planos de ação após desvinculação dos recursos do PAC.
Secretária de Cultura, Turismo, Esporte e lazer de Cantá - SEMCULTE;Secretaria Municipal de Cultura;Secretário Municipal;Secretário;Cantá;14;RR;RORAIMA;Gestor da Pasta de Cultura;prestação de contas;sobre a elaboração do PAAR
Consultoria privada;Empresa;Técnico;Técnico;Uiramutã;14;RR;RORAIMA;Consultor;No momento, ainda não as tenho elaboradas.;Editais. Se devemos construí-los ou se temos que necessariamente aguardar as minutas do MinC.
Fundação Municipal de Turismo e Cultura;Fundação;Presidente;Presidente;Amajari;14;RR;RORAIMA;Gestor da Pasta de Cultura;A prestação de conta dos fazedores de cultura que tiveram seus projetos aprovados. Prestação de conta da prefeitura. Etc.;Não entendo nada sobre a PNAB
Prefeitura de Pacaraima;Prefeitura;Coordenador de departamento;Coordenador;Pacaraima;14;RR;RORAIMA;Servidor da Pasta de Cultura;Execução e contrapartida dos fazedores de Cultura;Execução dos projetos
Secult/RR;Secretaria Estadual de Cultura;Assessor Especial;Assessor;Boa Vista;14;RR;RORAIMA;Servidor da Pasta de Cultura;Regramentos para execução dos editais e posterior prestação de contas;Trâmites para elaboração do PAAR
SECRETARIA DE ESTADO DA CULTURA E TURISMO DE RORAIMA - SECULT-RR;Secretaria Estadual de Cultura;CHEFE DE SEÇÃO DOCUMENTAÇÃO, CADASTRO E ARQUIVO;Gerente;Boa Vista;14;RR;RORAIMA;Servidor da Pasta de Cultura;NÃO HÁ;GOSTARIA DE SABER MAIS SOBRE AS PORCENTAGENS DE RECURSOS PRÉ-DEFINIDOS PARA AÇÕES AFIRMATIVAS E OUTRAS POLITICAS PÚBLICAS
SECRETARIA DE CULTURA, INOVAÇÃO E TURISMO;Secretaria Estadual de Cultura;SECRETÁRIA;Secretário;São João da Baliza;14;RR;RORAIMA;Gestor da Pasta de Cultura;QUANDO ABRIRA O EDITAL? E SOBRE A APLICAÇÃO DOS RECUJRSOS!;SOBRE O EDITAL DE FORMENTO CULTURAL E O PAAR
Secretaria municipal de cultura esporte e turismo;Secretaria Municipal de Cultura;Diretor de cultura;Diretor;Mucajai;14;RR;RORAIMA;Gestor da Pasta de Cultura;Sobre o processo de construção em geral?;Sobre o processo de construção em geral?
Funcei;Fundação;Diretor de Esportes e Cultura;Diretor;Iracema;14;RR;RORAIMA;Servidor da Pasta de Cultura;Prestação de contas, material a ser entregue pelos agentes culturais do audiovisual.;Execução e prestação de contas.
Secretaria municipal de Educação;Secretaria Municipal de Educação;Diretor de núcleo de cultura;Diretor;São Luiz;14;RR;RORAIMA;Servidor da Pasta de Cultura;Todas;Todas
Fundação de Educação, Turismo, Esportes e Cultura;Fundação;Superintendente de Cultura;Superintendente;Boa Vista;14;RR;RORAIMA;Gestor da Pasta de Cultura;Aplicação, cotas e prestação de contas.;Aplicação, cotas e prestação de contas
Semecd;Secretaria Municipal de Educação;Coordenador de cultura;Coordenador;UIRAMUTA;14;RR;RORAIMA;Gestor da Pasta de Cultura;Como posso ter acesso aos recursos?;Como  a PNAB ajuda em comunidades indígenas
Casa da Cultura e Turismo de São Pedro de Alcântara, vinculada à Secretaria Municipal de Educação, Cultura e Desporto;Casa da Cultura;Assessor de Cultura;Assessor;São Pedro de Alcântara;42;SC;SANTA CATARINA;Gestor da Pasta de Cultura;Não tenho dúvidas no momento. Em nosso município estamos aguardando a finalização dos projetos que foram aprovados nos editais.;"Como se dá a dedução de impostos? No nosso caso a Escuta Pública, que contou com a participação do Conselho Municipal de Cultura, os artistas, os produtores culturais..., optou em destinar o recurso através da modalidade de concessão de premiação cultural para pessoas jurídicas, grupos informais e pessoas físicas.

COMO REALIZO A DEDUÇÃO DE IMPOSTOS NOS TRÊS CASOS?
PESSOA JURÍDICA
GRUPO INFORMAL
PESSOA FÍSICA"
Secretaria de Educação e Cultura de Garopaba;Secretaria Municipal de Educação;Assessora de Cultura;Assessor;Garopaba;42;SC;SANTA CATARINA;Servidor da Pasta de Cultura;Prestação de Contas;.
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Secretaria Municipal;Secretário;São José;42;SC;SANTA CATARINA;Gestor da Pasta de Cultura;Prestação de Contas;elaboração do PAAR
Diretoria de Cultura;Diretoria de Cultura;Diretora de Cultura;Diretor;Garopaba;42;SC;SANTA CATARINA;Gestor da Pasta de Cultura;Prestação de contas;"Modelos de editais
Parecer
Medidas afirmativas"
Fundação Municipal de Cultura;Fundação;Presidente;Presidente;Porto Belo;42;SC;SANTA CATARINA;Gestor da Pasta de Cultura;Prestação de contas;PAAR
CIM-AMFRI;Sociedade Civil;Produtora cultural do consórcio;Produtora;Navegantes;42;SC;SANTA CATARINA;Consultor;Não tenho;"- Mecanismos de protagonismo (art. 2, IN 10/2023) para grupos são obrigatórios ou optativos?
- Quando sairão as minutas para os editais da Cultura Viva?
- Como se calcula a média dos 3 últimos anos de investimento na cultura para garantir os recursos da PNAB?
-"
Secretaria Municipal;Secretaria Municipal de Cultura;Secretário Municipal;Secretário;Cabreúva;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;.;.
Escritório Estadual de São Paulo do Ministério da Cultura (EESP/MinC);Ministério da Cultura;Técnico de Nível Superior;Técnico;São Paulo;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;A execução da LPG está concretizando o que foi planejado?;A execução da PNAB está concretizando o que foi planejado?
Escritório Estadual de São Paulo do Ministério da Cultura (EESP/MinC);Ministério da Cultura;Técnico de Nível Superior;Técnico;São Paulo;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;A execução da LPG está concretizando o que foi planejado?;A execução da PNAB está concretizando o que foi planejado?
Conselho de Cultura de Santos -SP;Conselho Municipal de Cultura;Presidente;Presidente;Santos;35;SP;SÃO PAULO;Consultor;Processo de acompanhamento e fiscalização do minc;Divisão de recurso, retenção de impostos, regulamentação,  fiscalização
Conselho de Cultura;Conselho Municipal de Cultura;Conselheira Notório Saber;Conselheiro;Guaratinguetá;35;SP;SÃO PAULO;Agente Cultural;Valores Remanescente, edital de complementação;Como se dão todas as aplicações do PAAR nos municipios.
ONG AÇÃO EDUCATIVA;Sociedade Civil;COORDENADORA DE COMUNICAÇÃO;Coordenador;SAO PAULO;35;SP;SÃO PAULO;Agente Cultural;Informações gerais;Informações gerais
Secretaria de Cultura, Esportes e Turismo;Secretaria Municipal de Cultura;Encarregado de Cultura;Auxiliar;Serrana;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Como posso utilizar as sobras de recursos de alguns dos incisos;Posso utilizar o recurso para produzir projetos / eventos com execução direta pela prefeitura via licitação?
secretaria de Cultura;Secretaria Municipal de Cultura;Diretor de Departamento;Diretor;Itapecerica da Serra;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Nós teremos mais alguma edição da LPG? se sim, quantas mais e quais valores?;sim em relação PNAB, me atualizar na totalidade.
Publico;Sociedade Civil;Secretariado;Secretário;Itapecerica da Serra;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Se existe possibilidade de prorrogação das execuções para 2025?;"Queremos contratar uma empresa para realizar todos os processos da PNAB, como é feito este processo?

Mesmo a empresa sendo contratada para realizar todos os processos da PNAB, existe algum impeditivo da participação de artistas que tenham grau de parentesco com contratados da Secretaria de Cultura?"
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Assessoria;Assessor;Atibaia;35;SP;SÃO PAULO;Consultor;Gostaria de aprofundar os meus conhecimentos;Gostaria de aprofundar os meus conhecimentos
Conselho municipal de patrimônio e cultura;Conselho Municipal de Cultura;Conselheira;Conselheiro;Caconde;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Datas doa envios dos projetos;Projetos municipais
Cultura;Secretaria Municipal de Cultura;Arte educador;Técnico;Taquaritinga;35;SP;SÃO PAULO;Agente Cultural;Prestação de contas.;Execução
Departamento de Cultura;Diretoria de Cultura;Diretor de Departamento de Cultura;Diretor;Matão;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Prazos de execução da LPG;Cadastro no PAAR
Conselho de cultura;Conselho Municipal de Cultura;Suplente cadeira de musica;Técnico;Indaiatuba;35;SP;SÃO PAULO;Agente Cultural;Gostaria de saber se há um prazo estabelecido para a implementação do sistema nacional de cultura?;Quais as principais cautelas devem ser observadas na execução da lei Aldir Blanc, em relação as vedações das leis eleitorais?
REC-BR e GAIA BRASIL;Sociedade Civil;Membro Conselho Consultivo e Gestora de Conteúdo;Conselheiro;suzano;35;SP;SÃO PAULO;Consultor;Acompanhamento para colaborar com municípios e gestores públicos;Acompanhamento para colaborar com municípios e gestores públicos
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Gestor;Indefinido;Presidente Prudente;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Prestação de contas;PAAR e impostos
Município de Mira Estrela;Prefeitura;Secretária de Cultura;Secretário;Mira Estrela;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Nenhuma.;"Obrigatoriedade da lei dos 20% para ações de incentivo direto a programas, a projetos e a ações de democratização do acesso à fruição e à produção artística e cultural em áreas periféricas, bem como em áreas de povos e comunidades tradicionais. Sendo que meu município é de pequeno porte, cerca de 3mil habitantes, e não há áreas como as descritas acima. 
Dúvidas acerca do PAAR"
Secretaria da Cultura;Secretaria Municipal de Cultura;Diretora da Cultura;Diretor;Vargem Grande Paulista;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;"Quais os relatórios e documentos de prestação de contas que devem ser entregues ao MINC, tanto por parte das secretarias quanto por parte dos artistas?

O recurso emergencial vai receber mais um aporte financeiro no ano de 2024?

Como e quando deve ser feita a devolução do dinheiro que restar em caixa?";"Os editais devem ser abertos obrigatoriamente em 180 após a entrada do dinheiro em conta ou após a publicação do repasse no diário oficial?

Vocês vão fornecer modelos de editais ou podemos usar os modelos da LPG? vide:
https://www.gov.br/cultura/pt-br/assuntos/lei-paulo-gustavo/central-de-conteudo/modelos-de-editais?_authenticator=b5dcb79131bff56b1bfe7a654f5d27a2e84ede9c

Existem outras iniciativas em vista ainda no ano de 2024, referentes à PNAB?

Sou dançarina e atual diretora da cultura. Eu posso ser contratada para dançar em um projeto que foi contemplado na PNAB?"
ABC pró HC;Sociedade Civil;Diretora Geral;Diretor;São Bernardo do Campo;35;SP;SÃO PAULO;Agente Cultural;Dúvidas gerais;Dúvidas gerais
CONCULT;Conselho Municipal de Cultura;Conselheira;Conselheiro;Santos;35;SP;SÃO PAULO;Agente Cultural;Nenhuma;Como lidar com os pontos de cultura sem certificado ?
Secretaria de Cultura de Araçatuba;Secretaria Municipal de Cultura;Assessora;Assessor;Araçatuba;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Aplicação do saldo residual;Aplicação dos recursos da política cultura viva
Secult;Secretaria Municipal de Cultura;Consultor;Consultor;Rio Claro;35;SP;SÃO PAULO;Consultor;Tenho dúvidas sobre os impostos.;Gostaria de entender melhor sobre a certificação de ponto de cultura que o município deve dar aos contemplados nos editais da cultura viva.
Prefeitura Municipal de Piracaia;Prefeitura;Diretora do departamento de cultura;Diretor;Piracaia;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Prazo final p o pgto dos projetos. Prazo p realização dos projetos prestaçO de contas;"Qdo poderemos dazer os editaus.
Qual o prazo p pgto dos mesmos. Até qdo poderemos prestar contas."
Secretaria municipal de cultura e turismo de Ferraz de Vasconcelos;Secretaria Municipal de Cultura;Diretor de departamento de gestão de políticas culturais;Diretor;Ferraz de Vasconcelos;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;NA;"Percentuais para destinação de recursos? 

prazo para execução dos projetos contemplados em editais"
Secretaria de Cultura;Secretaria Municipal de Cultura;Chefe de Gabinete;Chefe de Gabinete;Rio Claro SP;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;"1 - Que tipo de REFORMA E CONSTRUÇÃO o poder público NÃO PODE CONTRATAR?

2 - É obrigatório edital específico para cotas racial?

3 - Empresas de estruturas podem participar do edital de fomento já que possuem trabalhadores da Cultura? Qual o amparo legal para que não haja desvio de licitações?";"1 - Que tipo de REFORMA E CONSTRUÇÃO o poder público NÃO PODE CONTRATAR?

2 - É obrigatório edital específico para cotas racial?

3 - Empresas de estruturas podem participar do edital de fomento já que possuem trabalhadores da Cultura? Qual o amparo legal para que não haja desvio de licitações?"
Prefeitura Municipal de Iacanga;Prefeitura;Diretora de Departamento de Turismo;Diretor;Iacanga;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Utilização de parte do valor para compra de equipamentos para centro cultural.;Se é possível utilizar em festival cristão, onde engloba todas as religiões.
Casa Di Fatel;Sociedade Civil;Agente cultural;Agente Cultural;São Paulo;35;SP;SÃO PAULO;Agente Cultural;Preciso me atualizar em tudo. Estava de licença gestante.;Preciso me atualizar em tudo.
Secretaria municipal de cultura e turismo;Secretaria Municipal de Cultura;Chefe de divisão de cultura e turismo;Gerente;Santa Bárbara d'Oeste;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Não tenho dúvidas;Em relação a seleção dos Pontos de Cultura e a PNCV
Prefwitura municipal;Prefeitura;Secretario;Secretário;Bernardino de Campos;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Editais;Paar
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Secretário Municipal;Secretário;Araçoiaba da Serra;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Estou razoavelmente tranquilo em relação à sua execução.;Estou razoavelmente tranquilo em relação à sua execução, mas é importante estar sempre atento e aberto ao compartilhamento.
Prefeitura Municipal de Santa Rita do Passa Quatro Departamento de Turismo Cultura Esporte e Lazer;Prefeitura;Assessor de planejamento;Assessor;SANTA RITA DO PASSA QUATRO;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Editais com verbas remanescentes e prazo de execução dos projetos;Poder público poderá comprar materiais para os espaços públicos ou fazer contratação de empresa para digitalização de acervo?
Prefeitura municipal de Sud Mennucci- Divisão de Cultura;Prefeitura;Chefe de Divisão de Cultura;Gerente;Sud Mennucci;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Execução da Lei- Prestação de contas;Editais- Onde podemos utilizar o recurso
Secretaria Municipal de educação e Cultura;Secretaria Municipal de Cultura;Chefe de Divisão de Cultura;Gerente;Ipuã;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Para prestação de contas do município,  tem uma plataforma  para fazer isso?;Dúvidas como será distribuído o recurso com artistas ?
Secretaria de Cultura e Turismo de Campinas;Secretaria Municipal de Cultura;Especialista em Informação;Técnico;Campinas;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Sem dúvidas.;A utilização dos 20% do valor total da Pnab para manifestações populares, áreas periféricos, negros, pretos pardos,, lgbtqun+ se precisa realizar uma chamada em separado, ou posso fazer no edital geral essa porcentagem em específico numa categoria ou distribuir esse valor  no edital de forma segmentada?
Casarão da Memória;Sociedade Civil;Gestora;Indefinido;São Bento do Sapucaí;35;SP;SÃO PAULO;Consultor;Aplicação do resíduo e lucro da aplicação;Os editais podem ser executados no período eleitoral?
Secretaria Municipal de Cultura e Turismo de Sumaré;Secretaria Municipal de Cultura;Secretária Municipal de Cultura e Turismo;Secretário;Sumaré;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Por ora, nada.;"Clareza e linguagem de fácil compreensão dos Editais. 
Prorrogação para PAAR seria possível, considerando o apontamento de inúmeros Municípios com relação a dúvidas?"
Secretaria de Cultura;Secretaria Municipal de Cultura;GESTORA;Indefinido;Oscar Bressane;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Nao tive;Como montar o plano
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Chefe de Divisão de Projetos Culturais;Gerente;Caçapava;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Emissão de nota fiscal ou recibo para pagamento do serviço prestado pelo próprio proponente dentro do projeto. / Recolhimento de impostos;Sobre pontos de Cultura e espaço cultural: um mesmo espaço pode ser contemplado com recursos PNCV e como espaço cultural ?
Prefeitura municipal;Prefeitura;Secretaria de Cultura;Secretário;Catanduva;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Qual a data para prestação de contas?;Preciso saber mais sobre a Cultura verde
Secretaria de Cultura;Secretaria Municipal de Cultura;Responsável pelas Leis emergenciais e de Fomento;Indefinido;Ilhabela;35;SP;SÃO PAULO;Consultor;Nenhuma;Pode haver suplementação com recursos próprios da secretaria, se houver suplementação não entra em conflito com a Lei de Eleições, mesmo com o Parecer da AGU?
Secretaria de Educação e Cultura;Secretaria Municipal de Educação;Diretora de cultura;Diretor;Juquitiba;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Como detalhar o PAAR?;Sobre os anos que irão disponibilizar o recurso, os proponentes terão que reescrever projetos novos todos os anos para participar?
Secretaria de Turismo, Cultura e Eventos;Secretaria Municipal de Cultura;Turismóloga;Técnico;Valentim Gentil;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Fechamento dos projetos;Fechamento dos projetos
Prefeitura Municipal de Bauru;Prefeitura;Agente Cultural;Agente Cultural;Bauru;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Tempo de duração dos projetos. Se podem após o prazo limite para prestação de contas.;Formas de licitação referente à reforma de bens públicos tombados.
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretária Municipal de Cultura;Secretário;Botucatu;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Retenção de impostos;Cultura Viva
Secretaria;Secretaria Municipal de Cultura;Diretor;Diretor;Roseira;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Posso prestar contas de quem finalizou os projetos, qual site;Na lei Aldir Blanc, posso colocar recursos para a compra de telão led, para passar filmes, palestras, passar podcast
Divisão municipal de cultura;Diretoria de Cultura;Diretor municipal de cultura;Diretor;Capão Bonito;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;"Editais e prestação de contas 
Notas fiscais 
Se pode ter nota de pix
Entre outros";Editais e prestação de contas
Secretaria Municipal de Cultura de Ibitinga;Secretaria Municipal de Cultura;Coordenadora de Espaços Culturais;Coordenador;Ibitinga;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Como será feita a prestação de contas dos municípios com o ministério;Com relação ao Cultura Viva, quem fará o credenciamento de novos pontos? Como deve ser a comissão de seleção dos pontos de cultura a serem premiados? Podem ter pontos de cultura ligados a instituições religiosas? Podem famílias serem um ponto de cultura?
SECRETARIA DE CULTURA E LAZER;Secretaria Municipal de Cultura;GESTOR DE CULTURA;Indefinido;Cotia;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Não tenho no momento;Vamos publicar o Edital exclusivo para Cultura Viva. Os projetos que pretendemos publicar e os Pontos de Cultura são todos voltados para a Cultura Periférica, posso incluir o Edital nos 20% da Cultura Períférica também, assim nos permite ampliar os pontos percentuais de inclusão de cota para Negros e Negras, indígenas e pessoas com deficiência. Pretendemos, criar uma cota de projetos para pessoas com deficiência e não apenas os 10% do projeto.
Secretaria de Educação e Cultura;Secretaria Municipal de Educação;Diretora de Cultura;Diretor;Juquitiba;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;"Ainda estamos em fase de termino de execução dos projetos da LPG, assim que todos finalizarem seus projetos, quais os próximos caminhos? 

Sobre o saldo remanescente, como foi citado no Edital que haveria a distribuição do valor entre os proponentes aceitos, caso não houvesse suplentes, podemos manter na justificativa quando formos subir o relatório de execução certo?";"Sobre os valores anuais, teremos que fazer o mesmo processo todo o ano para selecionar quem receberá, ou serão os mesmos proponentes aceitos no primeiro edital que ficarão recebendo estes valores?
Os valores de PF serão descontados antes de efetuarmos os pagamentos? Ou teremos que reter este valor?
Para saber a melhor forma de proceder."
Secretaria Municipal de Cultura de Ibitinga;Secretaria Municipal de Cultura;Coordenadora de Espaços Culturais;Coordenador;Ibitinga;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Como deverá ser feita a prestação de contas do município para o ministério?;Com relação a aplicação do recurso para o Cultura Viva, como deve ser a comissão de seleção dos pontos de cultura? Como selecionar seus integrantes? Os integrantes da sociedade civil podem ser ponteiros de pontões de cultura de outros municípios?
Prefeitura de Américo Brasiliense;Prefeitura;Diretora de Cultura;Diretor;Américo Brasiliense;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Por hora nenhuma;Estamos estudando
Prefeitura Municipal de Lavrinhas;Prefeitura;Secretário;Secretário;Lavrinhas;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Nenhuma…;Quando se abre a ficha orçamentária, principalmente na cultura viva, o que prever?
Secretaria de Cultura;Secretaria Municipal de Cultura;Gerente de Cultura;Gerente;Mauá;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Até quando é possível utilizar o saldo remanescente?;Os projetos enviados poderão ser construídos pensando em continuidade, ou seja, uma mesma proposta poderá ser desmembrada em etapas para que seu desenvolvimento ocorra durante os anos previstos para que o município receba o recurso da PNAB?
Divisão de Ação Cultural da Secretaria de Cultura;Secretaria Municipal de Cultura;Agente cultural;Agente Cultural;Bauru;35;SP;SÃO PAULO;Servidor da Pasta de Cultura;Preciso me informar a respeito.;Preciso me informar a respeito.
Secretaria Mun de Cultura e Turismo;Secretaria Municipal de Cultura;Secretário Municipal;Secretário;Taquaritinga;35;SP;SÃO PAULO;Gestor da Pasta de Cultura;Detalhar as possibilidades de prestações de contas, dos proponentes para o Município. E do Município para a União.;Gostaria de saber mais sobre a divisão de aplicação dos recursos.
SECRETARIA DE EDUCAÇÃO E CULTURA;Secretaria Municipal de Educação;Diretora Departamento;Diretor;Pedra Mole;28;SE;SERGIPE;Servidor da Pasta de Cultura;Já foi executada em nosso município.  Será ao.prazo da prestação de contas;Sobre os lançamentos dos editais
FUNCAP;Fundação;TÉCNICO;Técnico;ARACAJU;28;SE;SERGIPE;Servidor da Pasta de Cultura;não há;não há
Secretaria Municipal de Turismo, Cultura, Esporte, Lazer e Juventude;Secretaria Municipal de Cultura;Diretor de Cultura;Diretor;Poço Redondo;28;SE;SERGIPE;Gestor da Pasta de Cultura;.;.
Secult itabaiana;Secretaria Municipal de Cultura;Gestora cultural;Indefinido;Itabaiana;28;SE;SERGIPE;Agente Cultural;"Várias dúvidas 
Pois sou novata na área 
Então estou querendo apreender tudo";Nunca participei dessa lei ! Quero saber tudo ,
Cultura;Secretaria Municipal de Cultura;Adjunta de Cultura;Indefinido;Pacatuba;28;SE;SERGIPE;Gestor da Pasta de Cultura;Nenhuma;Lei do sistema
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Consultor;Consultor;Laranjeiras;28;SE;SERGIPE;Consultor;1. Haverá extensão do prazo para criação do sistema, fundo, conselho e planos de cultura nos municípios?;"1. Haverá extensão do prazo para aprovação do PAAR?
2. Há algum planejamento para alterar o critério de distribuição dos recursos, que atualmente é populacional?"
Prefeitura Municipal de Siriri/SE;Prefeitura;Assessoria de Gestão de Convênio;Assessor;Aracaju;28;SE;SERGIPE;Consultor;Não tenho muitas dúvidas, vou aproveitar o evento par observar sugestões e as duvidas dos colegas;vou observar os colegas sobre sugestões e dúvidas.
Secretaria de Cultura, Esporte, Lazer e Turismo;Secretaria Municipal de Cultura;Diretora de Cultura;Diretor;Monte Alegre de Sergipe;28;SE;SERGIPE;Servidor da Pasta de Cultura;Até quando será a prestação de contas?;"Como será trabalhado a cultura viva? 

Quais os itens do plano de ação que pode ser realizado ações pela secretaria ?"
